Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,76476,30,BANKNIFTY,BANKNIFTY30MAR27P73500,30-MAR-2027,OPTIDX,PE,73500,0.05,
NFO,76475,25,NIFTYNXT50,NIFTYNXT5029SEP26C82200,29-SEP-2026,OPTIDX,CE,82200,0.05,
NFO,76474,25,NIFTYNXT50,NIFTYNXT5029SEP26P82100,29-SEP-2026,OPTIDX,PE,82100,0.05,
NFO,76473,30,BANKNIFTY,BANKNIFTY30MAR27C73500,30-MAR-2027,OPTIDX,CE,73500,0.05,
NFO,76472,30,BANKNIFTY,BANKNIFTY30MAR27P72000,30-MAR-2027,OPTIDX,PE,72000,0.05,
NFO,76471,25,NIFTYNXT50,NIFTYNXT5029SEP26C82100,29-SEP-2026,OPTIDX,CE,82100,0.05,
NFO,76469,25,NIFTYNXT50,NIFTYNXT5029SEP26P82000,29-SEP-2026,OPTIDX,PE,82000,0.05,
NFO,76468,25,NIFTYNXT50,NIFTYNXT5029SEP26C82000,29-SEP-2026,OPTIDX,CE,82000,0.05,
NFO,76467,25,NIFTYNXT50,NIFTYNXT5029SEP26P81900,29-SEP-2026,OPTIDX,PE,81900,0.05,
NFO,76463,25,NIFTYNXT50,NIFTYNXT5029SEP26C81900,29-SEP-2026,OPTIDX,CE,81900,0.05,
NFO,76462,25,NIFTYNXT50,NIFTYNXT5029SEP26P81800,29-SEP-2026,OPTIDX,PE,81800,0.05,
NFO,76461,25,NIFTYNXT50,NIFTYNXT5029SEP26C81800,29-SEP-2026,OPTIDX,CE,81800,0.05,
NFO,76460,25,NIFTYNXT50,NIFTYNXT5029SEP26P81700,29-SEP-2026,OPTIDX,PE,81700,0.05,
NFO,76459,25,NIFTYNXT50,NIFTYNXT5029SEP26C81700,29-SEP-2026,OPTIDX,CE,81700,0.05,
